q,prime,exponent,t,B,P,Q,E_over_Q,S_over_Q,M_over_Q,actual_reserve_over_Q,normalized_U
111581,111581,1,11.622506063538962,0.00975332971923143,0.03643808821301059,4.933848451807525,0.015581974187725856,0.6774121913755174,0.33464372965239125,1.0350163255851141,0.9988511771761265
111653,111653,1,11.623151126589363,0.00963907541999151,0.03655234251225051,4.942374713478676,0.009291437606594729,0.6774262638646276,0.32834614331721945,1.0292881247488017,0.9987949851180841
111721,111721,1,11.623759970967853,0.0095326024206773,0.03665881551156472,4.950321329967641,0.02216456635706738,0.6774395452974069,0.34121252504536387,1.0422402665032524,0.9987875931769131
111781,111781,1,11.624296878927884,0.009419445834431106,0.03677197209781091,4.958621299428538,0.008737480188972939,0.6774512541756729,0.3277803886868831,1.0292799711179212,0.998739874847247
111847,111847,1,11.62488714492245,0.009332076754234864,0.036859341178007154,4.965241316234699,-0.001192488056067589,0.6774641304213174,0.3178430738550997,1.0199833100328366,0.998673275850298
111913,111913,1,11.625477062708596,0.009281201390222288,0.03691021654201973,4.969399681905844,-0.004604979867084573,0.6774770026846462,0.3144214928232919,1.0177092297667543,0.9985485181686244
111977,111977,1,11.62604877204571,0.009217180616581874,0.036974237315660144,4.974418530585268,-0.009823371312638052,0.6774894748142763,0.30919498362251374,1.0142350938968936,0.9983462946341126
112061,112061,1,11.626798644870284,0.009112156362639012,0.037079261569603006,4.982412440339804,0.011085998794515025,0.677505829583971,0.330094684086013,1.0366970561348736,0.9981555932752102
112111,112111,1,11.627244730918758,0.009038182686684701,0.03715323524555732,4.987936268840433,-0.0012230860153889214,0.6775155565269784,0.317780375206303,1.024822523447724,0.9981007239383058
112181,112181,1,11.62786891726756,0.008957585084681585,0.03723383284756043,4.994122922232631,-0.0011502898654869743,0.6775291689007331,0.31784476947276674,1.0249320582822667,0.998096742197245
112247,112247,1,11.628457079189447,0.008876520178586061,0.03731489775365596,5.000291810668921,-0.009075871748863493,0.6775419939764644,0.3099114957969293,1.0157105673202378,0.9982606697461472
112303,112303,1,11.628955854528222,0.008858098050263174,0.03733331988197884,5.002149692875709,-0.030118948888195912,0.6775528755279452,0.288859542492003,0.9936122405161147,0.9983884426908481
112363,112363,1,11.629489980754945,0.008868741736688543,0.037322676195553475,5.002104486484067,-0.0422707883586288,0.6775645313556968,0.2766967827990871,0.980846565181044,0.9984604981921263
112459,112459,1,11.63034398975615,0.008873969085246146,0.03731744884699587,5.002822198059685,-0.010853202847221093,0.6775831645397495,0.3080974583959528,1.010349454695696,0.9986745237433445
112507,112507,1,11.630770720913112,0.008831203362801243,0.037360214569440775,5.006222089508827,-0.0025594777013813806,0.6775924686498487,0.3163848453421533,1.0181504290456884,0.998727293981749
