last_prime,cutoff_y,alpha,block_prime_count,beta_error_e_x,beta_error_e_y,q_exact,partial_order,partial_value,remainder_bound,q_upper,q_upper_margin,max_abs_u,scaled_q,scaled_q_upper,induction_f_gap,induction_c_step_max,induction_margin_c_130,induction_margin_c_135,induction_margin_c_140,induction_margin_c_145
99999989,9973,0.5,5760226,4.035858379047852e-06,0.0015246083296776014,-0.0015205724711273572,8,-0.001520572555020185,1.4476795370691067e-35,-0.001520572555020185,-8.389282779748541e-11,9.981963965666196e-05,-280.0997833086785,-280.09979876230756,0.0010820954796459973,1.4052110776006876,0.1052110776006876,0.05521107760068755,0.00521107760068773,-0.044788922399312314
99999989,63079,0.6,5755129,4.035858379047852e-06,0.00034124776342636665,-0.00033721190488322783,8,-0.0003372124155720133,4.6614688943655675e-42,-0.0003372124155720133,-5.106887854765783e-10,1.5760099584261056e-05,-62.116724641786455,-62.11681871413148,0.00035482721462539715,0.9503566853743719,-0.34964331462562814,-0.3996433146256282,-0.449643314625628,-0.49964331462562805
99999989,398087,0.7,5727748,4.035858379047852e-06,0.00012444373730957636,-0.00012040787873424108,8,-0.00012040737329981385,1.3033696427135603e-48,-0.00012040737329981385,5.054344272352159e-10,2.449583710761871e-06,-22.179949579853858,-22.179856475397322,0.00011748748119663283,1.0248527934503433,-0.27514720654965674,-0.3251472065496568,-0.3751472065496566,-0.42514720654965665
99999989,2511881,0.8,5577574,4.035858379047852e-06,2.9431190761819437e-05,-2.5395332236333168e-05,8,-2.5395661752791108e-05,1.9927766637304835e-55,-2.5395661752791108e-05,-3.295164579396228e-10,3.580961172033881e-07,-4.677992789896459,-4.678053489067474,3.738719825359039e-05,0.6792608951475066,-0.6207391048524934,-0.6707391048524934,-0.7207391048524933,-0.7707391048524933
99999989,15848929,0.9,4739478,4.035858379047852e-06,1.1212921569914158e-05,-7.177062995966654e-06,8,-7.177163352544125e-06,2.487337933872599e-63,-7.177163352544125e-06,-1.0035657747088113e-10,4.0865302919357305e-08,-1.3220637806710764,-1.3220822670346908,9.722687105862536e-06,0.7381872186565046,-0.5618127813434954,-0.6118127813434955,-0.6618127813434953,-0.7118127813434953
99999989,27542269,0.93,4046757,4.035858379047852e-06,9.147816437238276e-06,-5.1119580745384585e-06,8,-5.112097512611793e-06,2.3862382758025025e-66,-5.112097512611793e-06,-1.3943807333476207e-10,1.8374749055638517e-08,-0.9416574192611072,-0.9416831047018657,5.694052218293665e-06,0.897796036395278,-0.402203963604722,-0.45220396360472204,-0.5022039636047219,-0.5522039636047219
99999989,39810709,0.95,3338533,4.035858379047852e-06,1.2485437320464143e-05,-8.449578835743876e-06,8,-8.449735216153019e-06,8.547382161387678e-69,-8.449735216153019e-06,-1.5638040914250342e-10,9.754838492526119e-09,-1.5564698466405607,-1.5564986529747185,3.628035033205526e-06,2.3290114728267417,1.0290114728267417,0.9790114728267416,0.9290114728267418,0.8790114728267417
99999989,57543979,0.97,2336502,4.035858379047852e-06,8.3030800910322e-06,-4.267221722181053e-06,8,-4.26725216357281e-06,5.507901618344365e-72,-4.26725216357281e-06,-3.044139175760116e-11,4.341753845338303e-09,-0.7860512421527915,-0.7860568496640393,1.9490468511989216e-06,2.1894046112580035,0.8894046112580034,0.8394046112580034,0.7894046112580035,0.7394046112580035
99999989,69183083,0.98,1688669,4.035858379047852e-06,6.155083975389886e-06,-2.1192255855589925e-06,8,-2.1189632241096878e-06,3.2919835780241665e-74,-2.1189632241096878e-06,2.623614493047807e-10,2.4907007567520623e-09,-0.39037575555816045,-0.39032742679613547,1.2312276861748335e-06,1.721016549500168,0.42101654950016787,0.3710165495001678,0.321016549500168,0.27101654950016796
99999989,75857737,0.985,1319753,4.035858379047852e-06,7.95775423112488e-06,-3.921895783741067e-06,8,-3.921744703264937e-06,1.113804140436586e-75,-3.921744703264937e-06,1.5108047612993658e-10,1.7306931443528129e-09,-0.7224398573851892,-0.7224120273347118,8.991975412441853e-07,4.361382814546588,3.0613828145465884,3.011382814546588,2.9613828145465884,2.911382814546588
